Chapter,Verse,Sloke,Commentary
1,13,"ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः।

सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्।।1.13।।","యుద్దానికి భీష్ముడి ఉత్సాహాన్ని గమనించిన కౌరవ సైన్యం కూడా ఉత్సాహవంతులై రణగొణ ధ్వని చేసారు. 'పణవ' అంటే ఢంకాలు, 'ఆనక' అంటే డోళ్ళు/ఢంకాలు మరియు 'గో-ముఖ' అంటే కొమ్ము వాద్యములు. ఇవన్నీ వాద్య పరికరములే, వీటన్నిటీ ఒక్కుమ్మడి శబ్దం దిక్కులు పిక్కటిల్లేలా ఉన్నది."
1,14,"ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ।

माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः।।1.14।।","కౌరవ సైన్య పక్షం నుండి వచ్చిన ధ్వని సద్దుమణిగాక, శ్రీ కృష్ణ పరమాత్మ మరియు అర్జునుడు, అద్భుతమైన రథంలో కూర్చొని వుండి, భయ రహితులై, తమ తమ శంఖాలని శక్తివంతంగా పూరించారు. దీనితో పాండవ పక్షంలో కూడా యుద్ధానికి ఉత్సాహం రగిలింది.   సంజయుడు శ్రీ కృష్ణుడికి 'మాధవ' అన్న పేరు వాడాడు. 'మా' - సౌభాగ్య దేవతని సూచిస్తుంది; 'ధవ' - అంటే భర్త. శ్రీ కృష్ణుడు తన విష్ణు మూర్తి రూపంలో, అదృష్ట/సౌభాగ్య దేవత అయిన లక్ష్మీ దేవికి భర్త. సౌభాగ్య దేవత యొక్క అనుగ్రహం పాండవుల పక్షాన ఉన్నదని, వారు త్వరలో యుద్ధం లో విజేయులై తమ రాజ్యాన్ని తిరిగి పొందుతారు అని ఈ శ్లోకం సూచిస్తున్నది.   పాండవులు అంటే పాండు రాజు కుమారులు అని. ఐదుగురు అన్నదమ్ముల్లో ఎవరినైనా 'పాండవ' అని సంభోదించవచ్చు. ఇక్కడ ఈ పదం అర్జునుడికి వాడబడుతున్నది. అతను కూర్చున్న అద్భుతమైన రథం అగ్ని దేవుడు ప్రసాదించినది."
1,15,"पाञ्चजन्यं हृषीकेशो देवदत्तं धनंजयः।

पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः।।1.15।।","శ్రీ కృష్ణుడికి వాడబడిన 'హృషీకేశః' అన్న పదం, ఆయన మనస్సు మరియు ఇంద్రియములకు అధిపతి అని సూచిస్తుంది. శ్రీ కృష్ణుడు తన యొక్క, మరియు అందరి యొక్క మనసు, ఇంద్రియములకు సర్వోన్నత అధిపతి. తన అద్భుతమైన లీలలను ఈ భూగోళం మీద ప్రదర్శించేటప్పుడు కూడా తన మనస్సు, ఇంద్రియముల పై కృష్ణుడు, పూర్తి స్థాయిలో నియంత్రణ కలిగిఉన్నాడు."
1,16,"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः।

नकुलः सहदेवश्च सुघोषमणिपुष्पकौ।।1.16।।","పాండవ అన్నదమ్ముల్లో  యుధిష్టిరుడు పెద్ద వాడు.  ఇక్కడ అతన్ని ""రాజా"" అని సంభోధించారు; 'రాజసూయ యజ్ఞం'  చేసి, ఇతర రాజులందరి ప్రశంసలు అందుకుని అతను ఆ బిరుదుని సంపాదించుకున్నాడు.  రాజ మందిరంలో వున్నా, అడవిలో ప్రవాస జీవితం లో వున్నా అతనిలో రాజసం, విశాల-హృదయ స్వభావం ఉట్టిపడేవి.   సంజయుడు ధృతరాష్ట్రుడిని 'పృథివీపతే' (భూగోళాన్ని పరిపాలించేవాడా) అని సంభోధిస్తున్నాడు. ఒక దేశాన్ని కాపాడటం లేదా వినాశకరమైన యుద్ధం లోకి నెట్టి వేయటం అనేది రాజు చేతిలోనే వుంటుంది. కాబట్టి ఈ సంభోధనకి ఉన్న నిగూఢ అర్థం ఏమిటంటే, ""ఇరు సైన్యాలు యుద్ధానికి సన్నద్ధమై ఉన్నాయి. ఓ రాజా, ధృతరాష్ట్రా, నీవు ఒక్కడివే వారిని వెనుకకు పిలువ గలవు. ఏమి నిర్ణయించబోతున్నావు?"" అని."
1,17,"काश्यश्च परमेष्वासः शिखण्डी च महारथः।

धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः।।1.17।।","పాండవ అన్నదమ్ముల్లో  యుధిష్టిరుడు పెద్ద వాడు.  ఇక్కడ అతన్ని ""రాజా"" అని సంభోధించారు; 'రాజసూయ యజ్ఞం'  చేసి, ఇతర రాజులందరి ప్రశంసలు అందుకుని అతను ఆ బిరుదుని సంపాదించుకున్నాడు.  రాజ మందిరంలో వున్నా, అడవిలో ప్రవాస జీవితం లో వున్నా అతనిలో రాజసం, విశాల-హృదయ స్వభావం ఉట్టిపడేవి.   సంజయుడు ధృతరాష్ట్రుడిని 'పృథివీపతే' (భూగోళాన్ని పరిపాలించేవాడా) అని సంభోధిస్తున్నాడు. ఒక దేశాన్ని కాపాడటం లేదా వినాశకరమైన యుద్ధం లోకి నెట్టి వేయటం అనేది రాజు చేతిలోనే వుంటుంది. కాబట్టి ఈ సంభోధనకి ఉన్న నిగూఢ అర్థం ఏమిటంటే, ""ఇరు సైన్యాలు యుద్ధానికి సన్నద్ధమై ఉన్నాయి. ఓ రాజా, ధృతరాష్ట్రా, నీవు ఒక్కడివే వారిని వెనుకకు పిలువ గలవు. ఏమి నిర్ణయించబోతున్నావు?"" అని."
1,18,"द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते।

सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्।।1.18।।","పాండవ అన్నదమ్ముల్లో  యుధిష్టిరుడు పెద్ద వాడు.  ఇక్కడ అతన్ని ""రాజా"" అని సంభోధించారు; 'రాజసూయ యజ్ఞం'  చేసి, ఇతర రాజులందరి ప్రశంసలు అందుకుని అతను ఆ బిరుదుని సంపాదించుకున్నాడు.  రాజ మందిరంలో వున్నా, అడవిలో ప్రవాస జీవితం లో వున్నా అతనిలో రాజసం, విశాల-హృదయ స్వభావం ఉట్టిపడేవి.   సంజయుడు ధృతరాష్ట్రుడిని 'పృథివీపతే' (భూగోళాన్ని పరిపాలించేవాడా) అని సంభోధిస్తున్నాడు. ఒక దేశాన్ని కాపాడటం లేదా వినాశకరమైన యుద్ధం లోకి నెట్టి వేయటం అనేది రాజు చేతిలోనే వుంటుంది. కాబట్టి ఈ సంభోధనకి ఉన్న నిగూఢ అర్థం ఏమిటంటే, ""ఇరు సైన్యాలు యుద్ధానికి సన్నద్ధమై ఉన్నాయి. ఓ రాజా, ధృతరాష్ట్రా, నీవు ఒక్కడివే వారిని వెనుకకు పిలువ గలవు. ఏమి నిర్ణయించబోతున్నావు?"" అని."
1,19,"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्।

नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन्।।1.19।।","పాండవ సైన్యం పూరించిన శంఖ నాద శబ్దానికి కౌరవుల గుండెలు బ్రద్దలయినాయి. అయితే, కౌరవులు తమ శంఖాలను పూరించినప్పుడు పాండవులపై అలాంటి ప్రభావం ఏమీ పడినట్లు చెప్పబడలేదు. పాండవులు భగవంతుని ఆశ్రయించి ఉండటం వలన వారికి తాము సంరక్షిపబడుతాము అన్న విశ్వాసం ఉంది. అటుపక్క, తమ స్వీయ బలం మీదనే ఆధారపడ్డ కౌరవులు, మనఃసాక్షిలో నేరం చేసాము అన్న వేదన వల్ల,  ఓటమి భయానికి లోనయ్యారు."
1,20,"अथ व्यवस्थितान् दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः।

प्रवृत्ते शस्त्रसंपाते धनुरुद्यम्य पाण्डवः।।1.20।।","శక్తిశాలి అయిన హనుమంతుడు తన రథం (జెండా) మీద ఉన్నాడు కాబట్టి, అర్జునుడికి 'కపి ధ్వజుడు' అన్న పేరు ఉంది. దీనికి ఒక పూర్వ వృత్తాంతం ఉంది. ఒకసారి అర్జునుడు విలు విద్య లో తనకున్న ప్రావీణ్యానికి గర్వ పడి, శ్రీ రామ చంద్రుని సమయంలో వానరములు అంత కష్టపడి సేతువు (బ్రిడ్జి) ని భారత దేశం నుండి లంకకు ఎందుకు నిర్మించారో అని, శ్రీ కృష్ణునితో అన్నాడు. తనే గనక వుంటే, బాణములతో ఒక వారధి ని చేసేవాడిని అన్నాడు. శ్రీ కృష్ణుడు, అది ఎలాగో చూపించమన్నాడు. అర్జునుడు తన శర పరంపర తో ఒక వంతెన ని నిర్మించాడు. శ్రీ కృష్ణుడు హనుమంతుడిని ఆ వంతెనని పరీక్షించడానికి రమ్మని పిలిచాడు. హనుమ దానిపై నడవటం ప్రారంభించగానే ఆ వంతెన కూలిపోవటం మొదలయింది. తన బాణాలతో చేసిన వారధి రాముని అపారమైన (వానర) సైన్య బరువుని తట్టుకోలేదని అర్జునుడికి అర్థం అయింది. అర్జునుడు తన తొందరపాటుకి క్షమాపణ వేడుకున్నాడు. అప్పుడు హనుమంతుడు అర్జునుడికి, ఎప్పుడూ తన ప్రావీణ్యం చూసుకొని గర్వ పడొద్దని హితవు చెప్పాడు. హనుమ దయాళువై, మహాభారత యుద్ధం లో నీ రథం పై కూర్చుంటాను అని అర్జునుడికి వరం ఇచ్చాడు. ఈ విధంగా అర్జునుడి రథం, హనుమంతుని చిహ్నం తో ఉన్న జెండాని కలిగి వుంది. దీనితో అతనికి 'కపి ధ్వజుడు' (జెండా పై కపిరాజు ఉన్నవాడు) అన్న పేరొచ్చింది."
1,21,"अर्जुन उवाच

हृषीकेशं तदा वाक्यमिदमाह महीपते।

सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत।।1.21।।","సమస్త సృష్టి కి పరమేశ్వరుడైన శ్రీ కృష్ణుడి, భక్తుడు అర్జునుడు.  అయినప్పటికీ ఈ శ్లోకం లో అర్జునుడు భగవంతుడిని తన రథాన్ని కావలసిన చోటికి తీసుకెళ్లమన్నాడు.  ఇది భగవంతునికి తన భక్తులతో ఉండే సంబంధం యొక్క మాధుర్యాన్ని తెలియచేస్తోంది.  భగవంతుడు తన భక్తుల ప్రేమకు ఋణపడి, వారికి దాసుడు అయిపోతాడు.అహం భక్త పరాధీనో హ్యస్వతంత్ర ఇవ ద్విజసాధుభిర్గ్రస్త-హృదయో భక్తైర్భక్త-జన-ప్రియః (భాగవతం 9.4.63)""నేను సర్వ స్వతంత్రుడను అయినా, నా భక్తులకు బానిస అయిపోతాను. వారు నాకు అత్యంత ప్రియ మైన వారు మరియు నేను వారి ప్రేమకు ఋణ పడివుంటాను."" అర్జునుడు సుఖంగా రథంలో కూర్చుని తనకి ఆదేశాలు ఇస్తుంటే, అతని భక్తికి వశుడైపోయిన శ్రీ కృష్ణ పరమాత్మ రథాన్ని నడిపే సారధి స్థానాన్ని తీస్కున్నాడు."
1,22,"यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्।

कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे।।1.22।।","సమస్త సృష్టి కి పరమేశ్వరుడైన శ్రీ కృష్ణుడి, భక్తుడు అర్జునుడు.  అయినప్పటికీ ఈ శ్లోకం లో అర్జునుడు భగవంతుడిని తన రథాన్ని కావలసిన చోటికి తీసుకెళ్లమన్నాడు.  ఇది భగవంతునికి తన భక్తులతో ఉండే సంబంధం యొక్క మాధుర్యాన్ని తెలియచేస్తోంది.  భగవంతుడు తన భక్తుల ప్రేమకు ఋణపడి, వారికి దాసుడు అయిపోతాడు.అహం భక్త పరాధీనో హ్యస్వతంత్ర ఇవ ద్విజసాధుభిర్గ్రస్త-హృదయో భక్తైర్భక్త-జన-ప్రియః (భాగవతం 9.4.63)""నేను సర్వ స్వతంత్రుడను అయినా, నా భక్తులకు బానిస అయిపోతాను. వారు నాకు అత్యంత ప్రియ మైన వారు మరియు నేను వారి ప్రేమకు ఋణ పడివుంటాను."" అర్జునుడు సుఖంగా రథంలో కూర్చుని తనకి ఆదేశాలు ఇస్తుంటే, అతని భక్తికి వశుడైపోయిన శ్రీ కృష్ణ పరమాత్మ రథాన్ని నడిపే సారధి స్థానాన్ని తీస్కున్నాడు."
1,23,"योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः।

धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः।।1.23।।","పాపిష్టి బుద్ధి వారైన ధృతరాష్ట్రుని తనయులు రాజ్యాన్ని అన్యాయం గా లాక్కున్నారు, కాబట్టి వారి పక్షంలో పోరాడే వారు కూడా దురుద్దేశంతో ఉన్నవారే. అర్జునుడు తను ఎవరితో యుద్ధం చేయాల్సి వుందో వారిని ఒకసారి చూడదలచాడు. నిజానికి మొదట్లో అర్జునుడు పరాక్రమంతో యుద్ధానికి ఆతురతతో ఉన్నాడు. దుర్యోధనుడు ఎన్నో సార్లు పాండవుల వినాశనానికి కుట్రలు పన్నాడు అని సూచిస్తూ, పాపిష్టి బుద్ధి వారైన ధృతరాష్ట్రుని తనయుల ను గుర్తు చేసాడు. అర్జునిడి దృక్పథం ఇలా వుంది. ""మేము న్యాయ బద్ధంగా రాజ్యం లో సగ భాగానికి అర్హులము, కానీ అతను దాన్ని లాక్కోవాలని చూస్తున్నాడు. వాడు చెడు బుద్ది కలవాడు ఇంకా ఈ రాజులు వాడికి సహాయం చేయటానికి ఇక్కడ గుమికూడారు, కాబట్టి వారు కూడా దుర్మార్గులే. యుద్ధం కోసం ఇంత ఆతురత తో ఉన్న యోధులని నేను పరికించి చూడాలి. వారు అధర్మం వైపు మొగ్గుచూపుతున్నారు, కాబట్టి మా చేత నాశనం అయిపోతారు."""
